P_mm,CN,Q_mm
0.0,60,0.0
1.0,60,0.0
2.0,60,0.0
3.0,60,0.0
4.0,60,0.0
5.0,60,0.0
6.0,60,0.0
7.0,60,0.0
8.0,60,0.0
9.0,60,0.0
10.0,60,0.0
11.0,60,0.0
12.0,60,0.0
13.0,60,0.0
14.0,60,0.0
15.0,60,0.0
16.0,60,0.0
17.0,60,0.0
18.0,60,0.0
19.0,60,0.0
20.0,60,0.0
21.0,60,0.0
22.0,60,0.0
23.0,60,0.0
24.0,60,0.0
25.0,60,0.0
26.0,60,0.0
27.0,60,0.0
28.0,60,0.0
29.0,60,0.0
30.0,60,0.0
31.0,60,0.0
32.0,60,0.0
33.0,60,0.0
34.0,60,0.00010490427484919939
35.0,60,0.007534871594316251
36.0,60,0.026542249870399163
37.0,60,0.05692565391057852
38.0,60,0.09848834230079424
39.0,60,0.15103808432046872
40.0,60,0.21438703140830803
41.0,60,0.28835159299836294
42.0,60,0.37275231655396945
43.0,60,0.46741377163491477
44.0,60,0.5721644378405152
45.0,60,0.6868365964782663
46.0,60,0.8112662258143523
47.0,60,0.9452928997686031
48.0,60,1.0887596899224807
49.0,60,1.2415130707143718
50.0,60,1.4034028277018933
51.0,60,1.5742819687760696
52.0,60,1.7540066382171646
53.0,60,1.9424360334866173
54.0,60,2.139432324654
55.0,60,2.3448605763621515
56.0,60,2.5585886722376974
57.0,60,2.7804872416580073
58.0,60,3.0104295887893406
59.0,60,3.248291623814422
60.0,60,3.4939517962710327
61.0,60,3.747291030426423
62.0,60,4.00819266261535
63.0,60,4.276542380472512
64.0,60,4.55222816399287
65.0,60,4.8351402283560585
66.0,60,5.125170968453563
67.0,60,5.4222149050598185
68.0,60,5.726168632590651
69.0,60,6.036930768394741
70.0,60,6.35440190352585
71.0,60,6.678484554945647
72.0,60,7.009083119108826
73.0,60,7.346103826884128
74.0,60,7.689454699766603
75.0,60,8.03904550733819
76.0,60,8.394787725935267
77.0,60,8.756594498483423
78.0,60,9.12438059546117
79.0,60,9.498062376955758
80.0,60,9.877557755775578
81.0,60,10.262786161585053
82.0,60,10.653668506029023
83.0,60,11.050127148814973
84.0,60,11.45208586472256
85.0,60,11.859469811510937
86.0,60,12.272205498695566
87.0,60,12.690220757167118
88.0,60,13.113444709626094
89.0,60,13.541807741807744
90.0,60,13.9752414744727
91.0,60,14.413678736139733
92.0,60,14.85705353653771
93.0,60,15.305301040754793
94.0,60,15.75835754406353
95.0,60,16.21616044740141
96.0,60,16.678648233486943
97.0,60,17.145760443552245
98.0,60,17.61743765467352
99.0,60,18.093621457681735
100.0,60,18.574254435636085
0.0,70,0.0
1.0,70,0.0
2.0,70,0.0
3.0,70,0.0
4.0,70,0.0
5.0,70,0.0
6.0,70,0.0
7.0,70,0.0
8.0,70,0.0
9.0,70,0.0
10.0,70,0.0
11.0,70,0.0
12.0,70,0.0
13.0,70,0.0
14.0,70,0.0
15.0,70,0.0
16.0,70,0.0
17.0,70,0.0
18.0,70,0.0
19.0,70,0.0
20.0,70,0.0
21.0,70,0.0
22.0,70,0.0004789343710244821
23.0,70,0.01371102295057661
24.0,70,0.04470899470899483
25.0,70,0.09299734168457102
26.0,70,0.15811737529776967
27.0,70,0.23962648921326637
28.0,70,0.33709746063271423
29.0,70,0.4501177877008548
30.0,70,0.5782890608659281
31.0,70,0.7212263661816052
32.0,70,0.8785577186728825
33.0,70,1.0499235240134606
34.0,70,1.2349760668779082
35.0,70,1.4333790244391704
36.0,70,1.644807003581378
37.0,70,1.8689451004901165
38.0,70,2.1054884813678796
39.0,70,2.3541419831018757
40.0,70,2.6146197327852017
41.0,70,2.8866447850610255
42.0,70,3.1699487763232796
43.0,70,3.4642715948668084
44.0,70,3.7693610661352612
45.0,70,4.084972652266619
46.0,70,4.410869165184324
47.0,70,4.746820492526866
48.0,70,5.092603335750545
49.0,70,5.448000959779253
50.0,70,5.812802953611627
51.0,70,6.186805001330144
52.0,70,6.569808662988616
53.0,70,6.961621164884475
54.0,70,7.362055198750217
55.0,70,7.770928729424608
56.0,70,8.188064810588774
57.0,70,8.613291408175407
58.0,70,9.046441231080854
59.0,70,9.487351568830155
60.0,70,9.935864135864138
61.0,70,10.391824922135553
62.0,70,10.85508404971801
63.0,70,11.325495635147265
64.0,70,11.802917657229308
65.0,70,12.287211830063606
66.0,70,12.778243481043035
67.0,70,13.27588143360441
68.0,70,13.779997894515214
69.0,70,14.29046834549306
70.0,70,14.80717143896482
71.0,70,15.32998889778214
72.0,70,15.858805418719212
73.0,70,16.39350857958747
74.0,70,16.933988749809966
75.0,70,17.480139004306114
76.0,70,18.031855040544603
77.0,70,18.58903509862939
78.0,70,19.151579884290168
79.0,70,19.71939249465484
80.0,70,20.292378346687514
81.0,70,20.87044510818096
82.0,70,21.453502631197804
83.0,70,22.041462887859666
84.0,70,22.634239908388206
85.0,70,23.231749721306425
86.0,70,23.833910295712872
87.0,70,24.440641485545473
88.0,70,25.05186497575532
89.0,70,25.667504230314552
90.0,70,26.287484441985896
91.0,70,26.91173248378447
92.0,70,27.540176862065824
93.0,70,28.172747671176992
94.0,70,28.809376549610068
95.0,70,29.449996637600595
96.0,70,30.094542536115572
97.0,70,30.742950267178117
98.0,70,31.395157235478326
99.0,70,32.05110219122196
100.0,70,32.71072519417052
0.0,80,0.0
1.0,80,0.0
2.0,80,0.0
3.0,80,0.0
4.0,80,0.0
5.0,80,0.0
6.0,80,0.0
7.0,80,0.0
8.0,80,0.0
9.0,80,0.0
10.0,80,0.0
11.0,80,0.0
12.0,80,0.0
13.0,80,0.0014106583072100213
14.0,80,0.026080246913580206
15.0,80,0.08039513677811543
16.0,80,0.1630239520958083
17.0,80,0.27271386430678457
18.0,80,0.4082848837209301
19.0,80,0.5686246418338107
20.0,80,0.7526836158192088
21.0,80,0.9594707520891363
22.0,80,1.1880494505494503
23.0,80,1.4375338753387532
24.0,80,1.707085561497326
25.0,80,1.9959102902374666
26.0,80,2.303255208333333
27.0,80,2.6284061696658094
28.0,80,2.970685279187817
29.0,80,3.329448621553883
30.0,80,3.7040841584158404
31.0,80,4.094009779951099
32.0,80,4.49867149758454
33.0,80,4.9175417661097836
34.0,80,5.350117924528301
35.0,80,5.7959207459207445
36.0,80,6.254493087557602
37.0,80,6.725398633257402
38.0,80,7.2082207207207185
39.0,80,7.702561247216034
40.0,80,8.208039647577092
41.0,80,8.72429193899782
42.0,80,9.250969827586205
43.0,80,9.78773987206823
44.0,80,10.334282700421939
45.0,80,10.89029227557411
46.0,80,11.455475206611569
47.0,80,12.029550102249488
48.0,80,12.61224696356275
49.0,80,13.203306613226452
50.0,80,13.802480158730157
51.0,80,14.409528487229862
52.0,80,15.024221789883267
53.0,80,15.64633911368015
54.0,80,16.275667938931296
55.0,80,16.912003780718333
56.0,80,17.55514981273408
57.0,80,18.204916512059366
58.0,80,18.86112132352941
59.0,80,19.5235883424408
60.0,80,20.19214801444043
61.0,80,20.86663685152057
62.0,80,21.546897163120565
63.0,80,22.232776801405972
64.0,80,22.924128919860625
65.0,80,23.62081174438687
66.0,80,24.322688356164385
67.0,80,25.02962648556876
68.0,80,25.741498316498316
69.0,80,26.458180300500832
70.0,80,27.179552980132446
71.0,80,27.905500821018062
72.0,80,28.635912052117263
73.0,80,29.370678513731825
74.0,80,30.10969551282051
75.0,80,30.852861685214624
76.0,80,31.600078864353307
77.0,80,32.351251956181535
78.0,80,33.106288819875765
79.0,80,33.8651001540832
80.0,80,34.6275993883792
81.0,80,35.393702579666154
82.0,80,36.163328313253004
83.0,80,36.93639760837069
84.0,80,37.71283382789317
85.0,80,38.49256259204712
86.0,80,39.275511695906424
87.0,80,40.06161103047895
88.0,80,40.8507925072046
89.0,80,41.642989985693845
90.0,80,42.43813920454545
91.0,80,43.23617771509167
92.0,80,44.03704481792717
93.0,80,44.84068150208622
94.0,80,45.647030386740326
95.0,80,46.45603566529492
96.0,80,47.26764305177111
97.0,80,48.081799729364
98.0,80,48.89845430107526
99.0,80,49.71755674232309
100.0,80,50.53905835543765
0.0,90,0.0
1.0,90,0.0
2.0,90,0.0
3.0,90,0.0
4.0,90,0.0
5.0,90,0.0
6.0,90,0.004423708311733164
7.0,90,0.062125386092328115
8.0,90,0.18145994832041323
9.0,90,0.35657205410899956
10.0,90,0.582325299378505
11.0,90,0.8541951614089266
12.0,90,1.1681805198514703
13.0,90,1.5207300992435275
14.0,90,1.9086809774537592
15.0,90,2.3292069124121157
16.0,90,2.7797747055811564
17.0,90,3.258107180734917
18.0,90,3.762151636850431
19.0,90,4.290052853494862
20.0,90,4.84012990025516
21.0,90,5.4108561391580245
22.0,90,6.000841918688377
23.0,90,6.608819546020909
24.0,90,7.233630195080575
25.0,90,7.874212465618348
26.0,90,8.529592355392902
27.0,90,9.19887444593854
28.0,90,9.881234133958209
29.0,90,10.575910766432091
30.0,90,11.282201559124635
31.0,90,11.99945619613807
32.0,90,12.727072023163226
33.0,90,13.464489759651693
34.0,90,14.211189665706552
35.0,90,14.96668810840945
36.0,90,15.730534479851626
37.0,90,16.502308425546023
38.0,90,17.281617347354686
39.0,90,18.068094149725326
40.0,90,18.861395202020198
41.0,90,19.661198493145363
42.0,90,20.467201957635538
43.0,90,21.279121954892876
44.0,90,22.09669188547693
45.0,90,22.91966093024955
46.0,90,23.747792899834373
47.0,90,24.58086518329252
48.0,90,25.41866778617408
49.0,90,26.261002449204867
50.0,90,27.107681839831255
51.0,90,27.958528809691597
52.0,90,28.813375711826247
53.0,90,29.672063772093168
54.0,90,30.534442509834264
55.0,90,31.40036920334829
56.0,90,32.269708396178984
57.0,90,33.142331440628
58.0,90,34.01811607525893
59.0,90,34.89694603347559
60.0,90,35.778710680540605
61.0,90,36.66330467665218
62.0,90,37.550627663922455
63.0,90,38.440583975302225
64.0,90,39.333082363677846
65.0,90,40.22803574952775
66.0,90,41.12536098567207
67.0,90,42.02497863777943
68.0,90,42.92681277941337
69.0,90,43.83079080050688
70.0,90,44.736843228249846
71.0,90,45.644903559460666
72.0,90,46.55490810359231
73.0,90,47.466795835593786
74.0,90,48.380508257912766
75.0,90,49.295989270983576
76.0,90,50.21318505159803
77.0,90,51.13204393860497
78.0,90,52.052516325428385
79.0,90,52.97455455893434
80.0,90,53.89811284421336
81.0,90,54.823147154878534
82.0,90,55.74961514851017
83.0,90,56.67747608690568
84.0,90,57.60669076081919
85.0,90,58.53722141889875
86.0,90,59.46903170055032
87.0,90,60.40208657247796
88.0,90,61.336352268667376
89.0,90,62.27179623359667
90.0,90,63.20838706847392
91.0,90,64.14609448031479
92.0,90,65.08488923368674
93.0,90,66.02474310495845
94.0,90,66.96562883890371
95.0,90,67.9075201075201
96.0,90,68.8503914709312
97.0,90,69.79421834025067
98.0,90,70.7389769422943
99.0,90,71.68464428603342
100.0,90,72.6311981306905
0.0,95,0.0
1.0,95,0.0
2.0,95,0.0
3.0,95,0.007775395444799709
4.0,95,0.11971045091238194
5.0,95,0.34481273606551716
6.0,95,0.6627463994159439
7.0,95,1.0577726290741751
8.0,95,1.517520151730681
9.0,95,2.0321302990238856
10.0,95,2.5936499437811253
11.0,95,3.1955923287111565
12.0,95,3.8326140025388193
13.0,95,4.500273562627141
14.0,95,5.194849015120928
15.0,95,5.913197783479598
16.0,95,6.652648181969125
17.0,95,7.410914401168264
18.0,95,8.186029269799597
19.0,95,8.976290602436622
20.0,95,9.78021803479894
21.0,95,10.596518030379844
22.0,95,11.424055308909761
23.0,95,12.261829362534746
24.0,95,13.108955033214114
25.0,95,13.964646354902307
26.0,95,14.828203037714779
27.0,95,15.698999103455384
28.0,95,16.57647328331712
29.0,95,17.460120867004434
30.0,95,18.34948675361452
31.0,95,19.244159502517984
32.0,95,20.14376622028445
33.0,95,21.04796814971663
34.0,95,21.956456851030083
35.0,95,22.868950884467573
36.0,95,23.78519291917803
37.0,95,24.704947205798664
38.0,95,25.627997360456927
39.0,95,26.554144416325727
40.0,95,27.483205105787743
41.0,95,28.41501034198203
42.0,95,29.349403873246853
43.0,95,30.286241087918793
44.0,95,31.225387950245143
45.0,95,32.16672005093059
46.0,95,33.11012175816445
47.0,95,34.055485456937376
48.0,95,35.002710866117965
49.0,95,35.951704424171005
50.0,95,36.90237873560072
51.0,95,37.854652071229104
52.0,95,38.80844791629848
53.0,95,39.763694561142586
54.0,95,40.720324729820014
55.0,95,41.67827524266525
56.0,95,42.637486709197255
57.0,95,43.597903248246595
58.0,95,44.559472232527405
59.0,95,45.522144055199185
60.0,95,46.48587191624089
61.0,95,47.45061162670295
62.0,95,48.41632142911582
63.0,95,49.38296183252019
64.0,95,50.35049546074885
65.0,95,51.318886912734506
66.0,95,52.28810263374607
67.0,95,53.25811079656872
68.0,95,54.22888119174342
69.0,95,55.200385126069705
70.0,95,56.172595328655596
71.0,95,57.14548586386725
72.0,95,58.11903205059493
73.0,95,59.09321038730647
74.0,95,60.06799848241036
75.0,95,61.04337498949438
76.0,95,62.01931954704635
77.0,95,62.9958127222991
78.0,95,63.97283595887417
79.0,95,64.95037152792791
80.0,95,65.92840248252945
81.0,95,66.90691261502396
82.0,95,67.88588641715577
83.0,95,68.86530904274505
84.0,95,69.84516627272941
85.0,95,70.82544448239729
86.0,95,71.80613061065468
87.0,95,72.78721213117916
88.0,95,73.76867702532785
89.0,95,74.75051375667552
90.0,95,75.73271124707023
91.0,95,76.71525885410142
92.0,95,77.69814634988457
93.0,95,78.68136390107338
94.0,95,79.66490205001749
95.0,95,80.64875169698972
96.0,95,81.63290408341297
97.0,95,82.61735077602128
98.0,95,83.60208365189558
99.0,95,84.58709488431761
100.0,95,85.57237692939081
